,close,end_date,flag,time,code,open,high,low,volume,money,spot,date,ttm_days,base_sprd
2,5769.8,2018-06-15,1,2018-04-26,IC1806.CCFX,5875.0,5876.6,5756.0,1238.0,1438392320.0,5847.98,2018-04-26,50,-78.17999999999938
1,5664.6,2018-09-21,2,2018-04-26,IC1809.CCFX,5755.4,5761.0,5650.0,356.0,405453320.0,5847.98,2018-04-26,148,-183.3799999999992
0,5587.0,2018-12-21,3,2018-04-26,IC1812.CCFX,5688.8,5688.8,5573.0,115.0,129109240.0,5847.98,2018-04-26,239,-260.97999999999956
3,5852.2,2018-05-18,0,2018-04-27,IC1805.CCFX,5836.0,5855.6,5769.2,10844.0,12632452800.0,5860.98,2018-04-27,21,-8.779999999999745
2,5810.0,2018-06-15,1,2018-04-27,IC1806.CCFX,5800.6,5818.8,5731.8,1451.0,1677674800.0,5860.98,2018-04-27,49,-50.97999999999956
1,5698.6,2018-09-21,2,2018-04-27,IC1809.CCFX,5698.0,5705.0,5634.2,299.0,339101400.0,5860.98,2018-04-27,147,-162.3799999999992
0,5623.8,2018-12-21,3,2018-04-27,IC1812.CCFX,5608.0,5627.6,5551.2,107.0,119622920.0,5860.98,2018-04-27,238,-237.17999999999938
3,5827.8,2018-05-18,0,2018-05-02,IC1805.CCFX,5860.2,5887.4,5781.0,9384.0,10935509280.0,5855.32,2018-05-02,16,-27.519999999999527
2,5786.8,2018-06-15,1,2018-05-02,IC1806.CCFX,5830.4,5847.0,5745.0,1349.0,1561312440.0,5855.32,2018-05-02,44,-68.51999999999953
1,5681.6,2018-09-21,2,2018-05-02,IC1809.CCFX,5698.6,5740.0,5645.4,240.0,273068360.0,5855.32,2018-05-02,142,-173.71999999999935
0,5595.0,2018-12-21,3,2018-05-02,IC1812.CCFX,5630.0,5654.0,5560.2,72.0,80688360.0,5855.32,2018-05-02,233,-260.3199999999997
3,5892.4,2018-05-18,0,2018-05-03,IC1805.CCFX,5815.0,5919.4,5744.0,11627.0,13549496080.0,5910.61,2018-05-03,15,-18.210000000000036
2,5852.4,2018-06-15,1,2018-05-03,IC1806.CCFX,5777.0,5880.0,5703.2,1716.0,1988192800.0,5910.61,2018-05-03,43,-58.210000000000036
1,5735.2,2018-09-21,2,2018-05-03,IC1809.CCFX,5670.0,5764.8,5603.4,379.0,431528560.0,5910.61,2018-05-03,141,-175.40999999999985
0,5654.4,2018-12-21,3,2018-05-03,IC1812.CCFX,5584.4,5678.0,5530.0,139.0,155455080.0,5910.61,2018-05-03,232,-256.21000000000004
3,5881.0,2018-05-18,0,2018-05-04,IC1805.CCFX,5887.2,5921.8,5861.4,9115.0,10737591720.0,5909.29,2018-05-04,14,-28.289999999999964
2,5839.0,2018-06-15,1,2018-05-04,IC1806.CCFX,5852.4,5875.2,5818.0,1564.0,1828975960.0,5909.29,2018-05-04,42,-70.28999999999996
1,5722.0,2018-09-21,2,2018-05-04,IC1809.CCFX,5751.0,5766.6,5705.8,282.0,323412880.0,5909.29,2018-05-04,140,-187.28999999999996
0,5640.0,2018-12-21,3,2018-05-04,IC1812.CCFX,5640.6,5683.6,5638.0,63.0,71295680.0,5909.29,2018-05-04,231,-269.28999999999996
3,6001.0,2018-05-18,0,2018-05-07,IC1805.CCFX,5911.0,6024.6,5891.2,9567.0,11433402160.0,6019.14,2018-05-07,11,-18.140000000000327
2,5961.4,2018-06-15,1,2018-05-07,IC1806.CCFX,5858.0,5978.0,5848.4,2255.0,2675942280.0,6019.14,2018-05-07,39,-57.74000000000069
1,5833.0,2018-09-21,2,2018-05-07,IC1809.CCFX,5736.2,5850.0,5734.2,623.0,725107880.0,6019.14,2018-05-07,137,-186.14000000000033
0,5755.8,2018-12-21,3,2018-05-07,IC1812.CCFX,5671.8,5765.0,5652.8,142.0,162458880.0,6019.14,2018-05-07,228,-263.34000000000015
3,6028.6,2018-05-18,0,2018-05-08,IC1805.CCFX,6018.0,6033.8,5992.4,8181.0,9845063400.0,6041.81,2018-05-08,10,-13.210000000000036
2,5983.8,2018-06-15,1,2018-05-08,IC1806.CCFX,5962.0,5988.8,5951.0,1506.0,1799215000.0,6041.81,2018-05-08,38,-58.01000000000022
1,5854.8,2018-09-21,2,2018-05-08,IC1809.CCFX,5839.8,5858.8,5823.2,406.0,474286480.0,6041.81,2018-05-08,136,-187.01000000000022
0,5778.0,2018-12-21,3,2018-05-08,IC1812.CCFX,5774.0,5778.0,5733.2,118.0,135975680.0,6041.81,2018-05-08,227,-263.8100000000004
3,6011.0,2018-05-18,0,2018-05-09,IC1805.CCFX,6027.6,6041.8,5983.0,7028.0,8448700040.0,6029.23,2018-05-09,9,-18.229999999999563
2,5966.6,2018-06-15,1,2018-05-09,IC1806.CCFX,5979.8,5998.8,5939.8,1382.0,1649387960.0,6029.23,2018-05-09,37,-62.6299999999992
1,5829.2,2018-09-21,2,2018-05-09,IC1809.CCFX,5846.8,5865.6,5807.2,333.0,388404360.0,6029.23,2018-05-09,135,-200.02999999999975
0,5746.0,2018-12-21,3,2018-05-09,IC1812.CCFX,5778.0,5781.8,5733.0,82.0,94419240.0,6029.23,2018-05-09,226,-283.22999999999956
3,6036.4,2018-05-18,0,2018-05-10,IC1805.CCFX,6020.0,6054.0,5973.8,8003.0,9630668600.0,6040.57,2018-05-10,8,-4.170000000000073
2,5987.2,2018-06-15,1,2018-05-10,IC1806.CCFX,5970.4,6008.8,5924.8,1810.0,2161647800.0,6040.57,2018-05-10,36,-53.36999999999989
